node_id,name,x_coord,y_coord,node_type,ctrl_type,zone_id,production,attraction,geometry,,,directed_route_id,activity_type,,,,,
100022,BLUE.0.7671,-77.027996,38.893689,directed_route_stop,,0,0,0,POINT (-77.027996 38.893689),,,"BLUE,0",,,,,,
100023,BLUE.0.7812,-77.032058,38.901235,directed_route_stop,,0,0,0,POINT (-77.032058 38.901235),,,"BLUE,0",,,,,,
100024,BLUE.0.7932,-77.039582,38.901266,directed_route_stop,,0,0,0,POINT (-77.039582 38.901266),,,"BLUE,0",,,,,,
100025,BLUE.0.8040,-77.050126,38.900605,directed_route_stop,,0,0,0,POINT (-77.050126 38.900605),,,"BLUE,0",,,,,,
100026,BLUE.0.9720,-77.050446,38.857717,directed_route_stop,,0,0,0,POINT (-77.050446 38.857717),,,"BLUE,0",,,,,,
100027,BLUE.0.9838,-77.043575,38.852903,directed_route_stop,,0,0,0,POINT (-77.043575 38.852903),,,"BLUE,0",,,,,,
100028,BLUE.1.10352,-77.129211,38.799163,directed_route_stop,,0,0,0,POINT (-77.129211 38.799163),,,"BLUE,1",,,,,,
100029,BLUE.1.11332,-77.072054,38.895393,directed_route_stop,,0,0,0,POINT (-77.072054 38.895393),,,"BLUE,1",,,,,,
100030,BLUE.1.12900,-77.005992,38.885569,directed_route_stop,,0,0,0,POINT (-77.005992 38.885569),,,"BLUE,1",,,,,,
100031,BLUE.1.12906,-77.028274,38.887487,directed_route_stop,,0,0,0,POINT (-77.028274 38.887487),,,"BLUE,1",,,,,,
100032,BLUE.1.12926,-77.062895,38.884512,directed_route_stop,,0,0,0,POINT (-77.062895 38.884512),,,"BLUE,1",,,,,,
100033,BLUE.1.12928,-77.053877,38.869374,directed_route_stop,,0,0,0,POINT (-77.053877 38.869374),,,"BLUE,1",,,,,,
100034,BLUE.1.12930,-77.059242,38.862861,directed_route_stop,,0,0,0,POINT (-77.059242 38.862861),,,"BLUE,1",,,,,,
100035,BLUE.1.1305,-76.913413,38.889471,directed_route_stop,,0,0,0,POINT (-76.913413 38.889471),,,"BLUE,1",,,,,,
100036,BLUE.1.13107,-76.89339,38.886602,directed_route_stop,,0,0,0,POINT (-76.893390 38.886602),,,"BLUE,1",,,,,,
100037,BLUE.1.13986,-77.053534,38.813952,directed_route_stop,,0,0,0,POINT (-77.053534 38.813952),,,"BLUE,1",,,,,,
100038,BLUE.1.13995,-77.060896,38.806406,directed_route_stop,,0,0,0,POINT (-77.060896 38.806406),,,"BLUE,1",,,,,,
100039,BLUE.1.14816,-77.168587,38.766096,directed_route_stop,,0,0,0,POINT (-77.168587 38.766096),,,"BLUE,1",,,,,,
100040,BLUE.1.4613,-76.937762,38.890318,directed_route_stop,,0,0,0,POINT (-76.937762 38.890318),,,"BLUE,1",,,,,,
100041,BLUE.1.4664,-76.868598,38.893486,directed_route_stop,,0,0,0,POINT (-76.868598 38.893486),,,"BLUE,1",,,,,,
100042,BLUE.1.4697,-76.84464,38.900169,directed_route_stop,,0,0,0,POINT (-76.844640 38.900169),,,"BLUE,1",,,,,,
100043,BLUE.1.5017,-77.0217,38.884786,directed_route_stop,,0,0,0,POINT (-77.021700 38.884786),,,"BLUE,1",,,,,,
100044,BLUE.1.5110,-76.977268,38.885882,directed_route_stop,,0,0,0,POINT (-76.977268 38.885882),,,"BLUE,1",,,,,,
100045,BLUE.1.6479,-76.99511,38.884048,directed_route_stop,,0,0,0,POINT (-76.995110 38.884048),,,"BLUE,1",,,,,,
100046,BLUE.1.6553,-76.985497,38.880774,directed_route_stop,,0,0,0,POINT (-76.985497 38.880774),,,"BLUE,1",,,,,,
100047,BLUE.1.7333,-77.015636,38.884881,directed_route_stop,,0,0,0,POINT (-77.015636 38.884881),,,"BLUE,1",,,,,,
100048,BLUE.1.7588,-77.027877,38.898227,directed_route_stop,,0,0,0,POINT (-77.027877 38.898227),,,"BLUE,1",,,,,,
100049,BLUE.1.7671,-77.027996,38.893689,directed_route_stop,,0,0,0,POINT (-77.027996 38.893689),,,"BLUE,1",,,,,,
100050,BLUE.1.7812,-77.032058,38.901235,directed_route_stop,,0,0,0,POINT (-77.032058 38.901235),,,"BLUE,1",,,,,,
100051,BLUE.1.7932,-77.039582,38.901266,directed_route_stop,,0,0,0,POINT (-77.039582 38.901266),,,"BLUE,1",,,,,,
100052,BLUE.1.8040,-77.050126,38.900605,directed_route_stop,,0,0,0,POINT (-77.050126 38.900605),,,"BLUE,1",,,,,,
100053,BLUE.1.9720,-77.050446,38.857717,directed_route_stop,,0,0,0,POINT (-77.050446 38.857717),,,"BLUE,1",,,,,,
100054,BLUE.1.9838,-77.043575,38.852903,directed_route_stop,,0,0,0,POINT (-77.043575 38.852903),,,"BLUE,1",,,,,,
100055,GREEN.0.10142,-76.93171,38.843739,directed_route_stop,,0,0,0,POINT (-76.931710 38.843739),,,"GREEN,0",,,,,,
100056,GREEN.0.10344,-77.022005,38.905538,directed_route_stop,,0,0,0,POINT (-77.022005 38.905538),,,"GREEN,0",,,,,,
100057,GREEN.0.11731,-76.911111,39.010967,directed_route_stop,,0,0,0,POINT (-76.911111 39.010967),,,"GREEN,0",,,,,,
100058,GREEN.0.11733,-76.928297,38.9783,directed_route_stop,,0,0,0,POINT (-76.928297 38.978300),,,"GREEN,0",,,,,,
100059,GREEN.0.11886,-76.969622,38.954928,directed_route_stop,,0,0,0,POINT (-76.969622 38.954928),,,"GREEN,0",,,,,,
100060,GREEN.0.1418,-77.029269,38.916915,directed_route_stop,,0,0,0,POINT (-77.029269 38.916915),,,"GREEN,0",,,,,,
100061,GREEN.0.21110,-76.911902,38.826922,directed_route_stop,,0,0,0,POINT (-76.911902 38.826922),,,"GREEN,0",,,,,,
100062,GREEN.0.25552,-77.032554,38.928611,directed_route_stop,,0,0,0,POINT (-77.032554 38.928611),,,"GREEN,0",,,,,,
100063,GREEN.0.25553,-77.024352,38.936155,directed_route_stop,,0,0,0,POINT (-77.024352 38.936155),,,"GREEN,0",,,,,,
100064,GREEN.0.3034,-76.956088,38.965152,directed_route_stop,,0,0,0,POINT (-76.956088 38.965152),,,"GREEN,0",,,,,,
100065,GREEN.0.308,-77.022027,38.914446,directed_route_stop,,0,0,0,POINT (-77.022027 38.914446),,,"GREEN,0",,,,,,
100066,GREEN.0.4655,-76.98796,38.845279,directed_route_stop,,0,0,0,POINT (-76.987960 38.845279),,,"GREEN,0",,,,,,
100067,GREEN.0.5017,-77.0217,38.884786,directed_route_stop,,0,0,0,POINT (-77.021700 38.884786),,,"GREEN,0",,,,,,
100068,GREEN.0.5305,-77.001964,38.951708,directed_route_stop,,0,0,0,POINT (-77.001964 38.951708),,,"GREEN,0",,,,,,
100069,GREEN.0.5759,-77.004849,38.876417,directed_route_stop,,0,0,0,POINT (-77.004849 38.876417),,,"GREEN,0",,,,,,
100070,GREEN.0.6751,-76.995425,38.862017,directed_route_stop,,0,0,0,POINT (-76.995425 38.862017),,,"GREEN,0",,,,,,
100071,GREEN.0.7376,-77.017289,38.876378,directed_route_stop,,0,0,0,POINT (-77.017289 38.876378),,,"GREEN,0",,,,,,
100072,GREEN.0.7474,-77.021627,38.898254,directed_route_stop,,0,0,0,POINT (-77.021627 38.898254),,,"GREEN,0",,,,,,
100073,GREEN.0.7477,-77.021692,38.893807,directed_route_stop,,0,0,0,POINT (-77.021692 38.893807),,,"GREEN,0",,,,,,
100074,GREEN.0.7681,-76.975103,38.840947,directed_route_stop,,0,0,0,POINT (-76.975103 38.840947),,,"GREEN,0",,,,,,
100075,GREEN.0.7686,-76.956414,38.851064,directed_route_stop,,0,0,0,POINT (-76.956414 38.851064),,,"GREEN,0",,,,,,
100076,GREEN.1.10142,-76.93171,38.843739,directed_route_stop,,0,0,0,POINT (-76.931710 38.843739),,,"GREEN,1",,,,,,
100077,GREEN.1.10344,-77.022005,38.905538,directed_route_stop,,0,0,0,POINT (-77.022005 38.905538),,,"GREEN,1",,,,,,
100078,GREEN.1.11731,-76.911111,39.010967,directed_route_stop,,0,0,0,POINT (-76.911111 39.010967),,,"GREEN,1",,,,,,
100079,GREEN.1.11733,-76.928297,38.9783,directed_route_stop,,0,0,0,POINT (-76.928297 38.978300),,,"GREEN,1",,,,,,
