link_id,name,from_node_id,to_node_id,directed_route_id,facility_type,link_type,dir_flag,length,lanes,free_speed,capacity,VDF_FFTT1,VDF_cap1,VDF_alpha1,VDF_beta1,VDF_frequency1,VDF_FFTT2,VDF_cap2,VDF_alpha2,VDF_beta2,VDF_frequency2,VDF_FFTT3,VDF_cap3,VDF_alpha3,VDF_beta3,VDF_frequency3,VDF_FFTT4,VDF_cap4,VDF_alpha4,VDF_beta4,VDF_frequency4,VDF_FFTT5,VDF_cap5,VDF_alpha5,VDF_beta5,VDF_frequency5,geometry
,BLUE.0.6553.exit,100019,71,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.985497 38.880774, -76.985397 38.880874)"
,BLUE.0.7333.entrance,75,100020,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.015536 38.884981, -77.015636 38.884881)"
,BLUE.0.7333.exit,100020,75,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.015636 38.884881, -77.015536 38.884981)"
,BLUE.0.7588.entrance,79,100021,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.027777 38.898327, -77.027877 38.898227)"
,BLUE.0.7588.exit,100021,79,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.027877 38.898227, -77.027777 38.898327)"
,BLUE.0.7671.entrance,80,100022,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.027896 38.893789, -77.027996 38.893689)"
,BLUE.0.7671.exit,100022,80,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.027996 38.893689, -77.027896 38.893789)"
,BLUE.0.7812.entrance,83,100023,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.031958 38.901335, -77.032058 38.901235)"
,BLUE.0.7812.exit,100023,83,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.032058 38.901235, -77.031958 38.901335)"
,BLUE.0.7932.entrance,84,100024,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.039482 38.901366, -77.039582 38.901266)"
,BLUE.0.7932.exit,100024,84,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.039582 38.901266, -77.039482 38.901366)"
,BLUE.0.8040.entrance,86,100025,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.050026 38.900705, -77.050126 38.900605)"
,BLUE.0.8040.exit,100025,86,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.050126 38.900605, -77.050026 38.900705)"
,BLUE.0.9720.entrance,88,100026,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.050346 38.857817, -77.050446 38.857717)"
,BLUE.0.9720.exit,100026,88,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.050446 38.857717, -77.050346 38.857817)"
,BLUE.0.9838.entrance,89,100027,BLUE.0,,1,1,0.00709,1,65,1900,0.756,10000,0.15,4,0,0.706,10000,0.15,4,0,0.837,10000,0.15,4,0,4.39,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.043475 38.853003, -77.043575 38.852903)"
,BLUE.0.9838.exit,100027,89,BLUE.0,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.043575 38.852903, -77.043475 38.853003)"
,BLUE.1.10352.entrance,3,100028,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.129111 38.799263, -77.129211 38.799163)"
,BLUE.1.10352.exit,100028,3,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.129211 38.799163, -77.129111 38.799263)"
,BLUE.1.11332.entrance,5,100029,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.071954 38.895493, -77.072054 38.895393)"
,BLUE.1.11332.exit,100029,5,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.072054 38.895393, -77.071954 38.895493)"
,BLUE.1.12900.entrance,17,100030,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.005892 38.885669, -77.005992 38.885569)"
,BLUE.1.12900.exit,100030,17,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.005992 38.885569, -77.005892 38.885669)"
,BLUE.1.12906.entrance,18,100031,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.028174 38.887587, -77.028274 38.887487)"
,BLUE.1.12906.exit,100031,18,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.028274 38.887487, -77.028174 38.887587)"
,BLUE.1.12926.entrance,20,100032,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.062795 38.884612, -77.062895 38.884512)"
,BLUE.1.12926.exit,100032,20,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.062895 38.884512, -77.062795 38.884612)"
,BLUE.1.12928.entrance,21,100033,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.053777 38.869474, -77.053877 38.869374)"
,BLUE.1.12928.exit,100033,21,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.053877 38.869374, -77.053777 38.869474)"
,BLUE.1.12930.entrance,22,100034,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.059142 38.862961, -77.059242 38.862861)"
,BLUE.1.12930.exit,100034,22,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.059242 38.862861, -77.059142 38.862961)"
,BLUE.1.1305.entrance,23,100035,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.913313 38.889571, -76.913413 38.889471)"
,BLUE.1.1305.exit,100035,23,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.913413 38.889471, -76.913313 38.889571)"
,BLUE.1.13107.entrance,24,100036,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.893290 38.886702, -76.893390 38.886602)"
,BLUE.1.13107.exit,100036,24,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.893390 38.886602, -76.893290 38.886702)"
,BLUE.1.13986.entrance,25,100037,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.053434 38.814052, -77.053534 38.813952)"
,BLUE.1.13986.exit,100037,25,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.053534 38.813952, -77.053434 38.814052)"
,BLUE.1.13995.entrance,26,100038,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.060796 38.806506, -77.060896 38.806406)"
,BLUE.1.13995.exit,100038,26,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.060896 38.806406, -77.060796 38.806506)"
,BLUE.1.14816.entrance,29,100039,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.168487 38.766196, -77.168587 38.766096)"
,BLUE.1.14816.exit,100039,29,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.168587 38.766096, -77.168487 38.766196)"
,BLUE.1.4613.entrance,54,100040,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.937662 38.890418, -76.937762 38.890318)"
,BLUE.1.4613.exit,100040,54,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.937762 38.890318, -76.937662 38.890418)"
,BLUE.1.4664.entrance,56,100041,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.868498 38.893586, -76.868598 38.893486)"
,BLUE.1.4664.exit,100041,56,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.868598 38.893486, -76.868498 38.893586)"
,BLUE.1.4697.entrance,57,100042,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.844540 38.900269, -76.844640 38.900169)"
,BLUE.1.4697.exit,100042,57,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.844640 38.900169, -76.844540 38.900269)"
,BLUE.1.5017.entrance,63,100043,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.021600 38.884886, -77.021700 38.884786)"
,BLUE.1.5017.exit,100043,63,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-77.021700 38.884786, -77.021600 38.884886)"
,BLUE.1.5110.entrance,65,100044,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.977168 38.885982, -76.977268 38.885882)"
,BLUE.1.5110.exit,100044,65,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.977268 38.885882, -76.977168 38.885982)"
,BLUE.1.6479.entrance,70,100045,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.995010 38.884148, -76.995110 38.884048)"
,BLUE.1.6479.exit,100045,70,BLUE.1,,1,1,0.00709,1,65,1900,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.995110 38.884048, -76.995010 38.884148)"
,BLUE.1.6553.entrance,71,100046,BLUE.1,,1,1,0.00709,1,65,1900,0.826,10000,0.15,4,0,0.849,10000,0.15,4,0,1.017,10000,0.15,4,0,4.615,10000,0.15,4,0,0,10000,0.15,4,0,"LINESTRING (-76.985397 38.880874, -76.985497 38.880774)"
